"2019-01-31 23:19:31 [main] INFO  com.example.demo.DemoGuiApplication - Starting DemoGuiApplication on admin-PC with PID 7032 (D:\Workspace\DemoGui\target\classes started by admin in D:\Workspace\DemoGui)
""2019-01-31 23:19:31 [main] INFO  com.example.demo.DemoGuiApplication - The following profiles are active: dev
""2019-01-31 23:19:32 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2019-01-31 23:19:32 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-01-31 23:19:32 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.14]
""2019-01-31 23:19:32 [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_171\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;c:\Program Files (x86)\Intel\iCLS Client\;c:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Git\cmd;C:\Program Files\nodejs\;C:\ProgramData\chocolatey\bin;C:\Users\admin\AppData\Roaming\npm;.]
""2019-01-31 23:19:32 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-01-31 23:19:32 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 942 ms
""2019-01-31 23:19:32 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2019-01-31 23:19:32 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2019-01-31 23:19:32 [main] INFO  com.example.demo.DemoGuiApplication - Started DemoGuiApplication in 1.736 seconds (JVM running for 2.278)
""2019-01-31 23:21:59 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2019-01-31 23:21:59 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
"
